# TIME FLUX FLUX_ERR PHASE ECL_MASK
1.468761636521549235e+03 9.994128942489624023e-01 5.678949528373777866e-04 3.173648450355681661e-02 0.000000000000000000e+00
1.468782469943296064e+03 9.996843338012695312e-01 5.682574119418859482e-04 3.316259284067513136e-02 0.000000000000000000e+00
1.468803303364751855e+03 9.997177124023437500e-01 5.679066525772213936e-04 3.458870115787071597e-02 0.000000000000000000e+00
1.468824136786033932e+03 9.998326301574707031e-01 5.680487956851720810e-04 3.601480946317536791e-02 0.000000000000000000e+00
1.468844970207081815e+03 9.989857077598571777e-01 5.679049645550549030e-04 3.744091775244928755e-02 0.000000000000000000e+00
1.468865803627896867e+03 9.996892809867858887e-01 5.678847664967179298e-04 3.886702602578395727e-02 0.000000000000000000e+00
1.468886637048480225e+03 9.995934367179870605e-01 5.679586902260780334e-04 4.029313428325931312e-02 0.000000000000000000e+00
1.468907470468888505e+03 9.989282488822937012e-01 5.681823822669684887e-04 4.171924252875047756e-02 0.000000000000000000e+00
1.468928303889005065e+03 9.989553093910217285e-01 5.678907618857920170e-04 4.314535075427183841e-02 0.000000000000000000e+00
1.468949137308889249e+03 9.996504783630371094e-01 5.677818553522229195e-04 4.457145896388681194e-02 0.000000000000000000e+00
1.468969970728599037e+03 9.992359876632690430e-01 5.679526948370039463e-04 4.599756716156377934e-02 0.000000000000000000e+00
1.468990804148017787e+03 9.995878338813781738e-01 5.679309251718223095e-04 4.742367533931801660e-02 0.000000000000000000e+00
1.469011637567262369e+03 9.994100928306579590e-01 5.679259193129837513e-04 4.884978350515023493e-02 0.000000000000000000e+00
1.469032470986272983e+03 9.990456700325012207e-01 5.678151501342654228e-04 5.027589165496682000e-02 0.000000000000000000e+00
1.469053304404992332e+03 9.999200105667114258e-01 5.679991445504128933e-04 5.170199978484557590e-02 0.000000000000000000e+00
1.469074137823538649e+03 1.001466155052185059e+00 5.682605551555752754e-04 5.312810790287958440e-02 0.000000000000000000e+00
1.469094971241852136e+03 9.999620318412780762e-01 5.679211462847888470e-04 5.455421600497523116e-02 0.000000000000000000e+00
1.469115804659931882e+03 1.000149130821228027e+00 5.682327318936586380e-04 5.598032409107123186e-02 0.000000000000000000e+00
1.469136638077720818e+03 9.999642372131347656e-01 5.679953610524535179e-04 5.740643215726048965e-02 0.000000000000000000e+00
1.469157471495335130e+03 1.000386953353881836e+00 5.680712638422846794e-04 5.883254021149575408e-02 0.000000000000000000e+00
1.469178304912715703e+03 9.997562766075134277e-01 5.679266760125756264e-04 6.025864824973137246e-02 0.000000000000000000e+00
1.469199138329864354e+03 9.990923404693603516e-01 5.679545574821531773e-04 6.168475627209080159e-02 0.000000000000000000e+00
1.469219971746780857e+03 1.000150322914123535e+00 5.678320885635912418e-04 6.311086427855894243e-02 0.000000000000000000e+00
1.469240805163463619e+03 9.989860653877258301e-01 5.677808076143264771e-04 6.453697226902743722e-02 0.000000000000000000e+00
1.469261638579913097e+03 1.000426530838012695e+00 5.680430331267416477e-04 6.596308024352648403e-02 0.000000000000000000e+00
1.469282471996130198e+03 9.995167255401611328e-01 5.679808673448860645e-04 6.738918820211914351e-02 0.000000000000000000e+00
1.469303305412114696e+03 9.999283552169799805e-01 5.679618916474282742e-04 6.881529614478854029e-02 0.000000000000000000e+00
1.469324138827866363e+03 1.000648856163024902e+00 5.681963521055877209e-04 7.024140407152046350e-02 0.000000000000000000e+00
1.469344972243385882e+03 1.000375151634216309e+00 5.678060697391629219e-04 7.166751198236109843e-02 0.000000000000000000e+00
1.469365805658670979e+03 1.000997424125671387e+00 5.680308095179498196e-04 7.309361987715501385e-02 0.000000000000000000e+00
1.469386639073723472e+03 1.000675439834594727e+00 5.678746965713799000e-04 7.451972775602655474e-02 0.000000000000000000e+00
1.469407472488544272e+03 1.000241518020629883e+00 5.681322654709219933e-04 7.594583561903878177e-02 0.000000000000000000e+00
1.469428305903131786e+03 9.991540908813476562e-01 5.677572917193174362e-04 7.737194346608067264e-02 0.000000000000000000e+00
1.469449139317486470e+03 9.988489747047424316e-01 5.676911678165197372e-04 7.879805129718508994e-02 0.000000000000000000e+00
1.469469972731608095e+03 1.000208616256713867e+00 5.680392496287822723e-04 8.022415911233604646e-02 0.000000000000000000e+00
1.469490806145496435e+03 1.000456452369689941e+00 5.679741152562201023e-04 8.165026691151755500e-02 0.000000000000000000e+00
1.469511639559152400e+03 1.001227974891662598e+00 5.681623588316142559e-04 8.307637469479267622e-02 0.000000000000000000e+00
1.469532472972576443e+03 1.000896096229553223e+00 5.682465271092951298e-04 8.450248246219249637e-02 0.000000000000000000e+00
1.469553306385708765e+03 1.000510573387145996e+00 5.680491449311375618e-04 8.592859020962251293e-02 0.000000000000000000e+00
1.469574139798666465e+03 1.000810027122497559e+00 5.684602656401693821e-04 8.735469794509942432e-02 0.000000000000000000e+00
1.469594973211391107e+03 9.998100996017456055e-01 5.680327885784208775e-04 8.878080566462287493e-02 0.000000000000000000e+00
1.469615806623824255e+03 1.000324130058288574e+00 5.681106122210621834e-04 9.020691336419250916e-02 0.000000000000000000e+00
1.469636640036083236e+03 9.995473027229309082e-01 5.679305177181959152e-04 9.163302105184012447e-02 0.000000000000000000e+00
1.469657473448052087e+03 9.998691082000732422e-01 5.681533366441726685e-04 9.305912871962718214e-02 0.000000000000000000e+00
1.469678306859846316e+03 1.001435637474060059e+00 5.682873306795954704e-04 9.448523637546113463e-02 0.000000000000000000e+00
