filename,best_fit,aic_transit,aic_sinusoidal,aic_linear,aic_step,rmse_transit,rmse_sinusoidal,rmse_linear,rmse_step
TIC_260128333_6_1,A,-506.6981698023578,-503.1087695418243,-499.9846837559416,-504.859787682796,1.0774125846643203,1.1942734160720294,1.2774336866265292,1.2144653608270393
TIC_260128333_6_2,T,-568.2158437217122,-524.4282862711862,-344.64650183260096,-522.1466780051203,0.941559443923666,1.4000563117989102,2.4141728337730006,1.3807577431551115
TIC_260128333_7_1,A,-552.1679653338903,-556.2070979491732,-555.2288079607988,-554.6052459404929,0.8129719295060195,0.8636543112393247,0.9459035853595997,0.9198107684070275
TIC_271548206_15_1,A,-254.6235166775624,-256.03108510799404,-256.48105428879916,-257.96147318506354,0.7257574389567273,0.8127031052199877,0.8793462954305491,0.8319344055879965
TIC_271548206_14_1,St,-158.244633427875,-163.99822431986047,-162.87738459183086,-167.2523996422166,0.894011875221748,0.9325150044539043,1.0491659047019386,0.9296440079502398
TIC_271548206_14_2,T,-256.3164661407215,-247.81608861919943,-246.82472463689155,-245.71827186697658,0.7923389816337263,0.9907874253448143,1.061002253091092,1.0420082097826764
