tics,sectors,injected_times,injected_depths,injected_durations,injected_snrs,recovered,recovered_times,recovered_depths,recovered_durations,recovered_snrs
271548206,15,1718.2319250992898,0.001,0.1,0.09437784718698901,False,,,,
271548206,14,1705.263180208872,0.001,0.1,0.08971729192356157,False,,,,
271548206,15,1719.3360917659563,0.001,0.25,0.13619038386897747,False,,,,
271548206,14,1703.679847901578,0.001,0.25,0.15776346502242494,False,,,,
78568736,7,1511.5045828495688,0.001,0.4,11.758169566583154,True,1511.4837495162355,0.0009063415251343576,0.5,15.654534761205538
271548206,15,1733.8569250992898,0.001,0.4,0.16866940998042598,False,,,,
260128333,7,1495.8137196791108,0.001,0.5499999999999999,6.292708738301356,False,,,,
271548206,15,1711.5860917659563,0.001,0.5499999999999999,0.23591456576553846,False,,,,
271548206,15,1734.065258432623,0.001,0.7,0.22665502954537553,False,,,,
271548206,14,1684.45056436238,0.001,0.7,0.27658301194396234,False,,,,
271548206,14,1701.5548484767967,0.001,0.85,0.2843458959823721,False,,,,
271548206,15,1717.127758432623,0.001,0.85,0.2829116892925744,False,,,,
78568736,7,1493.1712495162355,0.001,1.0,21.29773941004708,False,,,,
271548206,14,1686.7422530690171,0.001,1.0,0.28764453749923047,False,,,,
260128333,6,1486.011654878125,0.0014677992676220691,0.1,4.033716833010041,False,,,,
271548206,14,1684.471397902666,0.0014677992676220691,0.1,0.15352790114008175,False,,,,
260128333,7,1501.1887196791108,0.0014677992676220691,0.25,5.673051460666675,False,,,,
271548206,15,1713.502758432623,0.0014677992676220691,0.25,0.21638057854831372,False,,,,
271548206,15,1734.752758432623,0.0014677992676220691,0.4,0.23933235674430295,False,,,,
260128333,7,1501.8762196791108,0.0014677992676220691,0.4,7.059813358211644,False,,,,
260128333,7,1500.522053012444,0.0014677992676220691,0.5499999999999999,8.94806859208143,True,1500.4178863457776,0.0011825462108110418,0.5833333333333333,7.374320898963563
271548206,15,1711.6069250992898,0.0014677992676220691,0.5499999999999999,0.34482994447020643,False,,,,
78568736,7,1493.5045828495688,0.0014677992676220691,0.7,22.40349101496751,False,,,,
271548206,15,1730.7735917659563,0.0014677992676220691,0.7,0.38127206535201763,False,,,,
260128333,6,1485.8033217378786,0.0014677992676220691,0.85,10.55981392996293,False,,,,
78568736,7,1514.337916182902,0.0014677992676220691,0.85,25.211665905847273,True,1514.150416182902,0.0002864855385940057,0.22916666666666666,
260128333,7,1513.1887196791108,0.0014677992676220691,1.0,11.38240567940515,False,,,,
260128333,6,1470.094975044957,0.0014677992676220691,1.0,12.640727790829603,False,,,,
271548206,14,1689.2006087687198,0.0021544346900318843,0.1,0.19588448133244976,False,,,,
78568736,7,1512.7337495162355,0.0021544346900318843,0.1,15.941213569684505,True,1512.7337495162355,0.00026980308236934647,0.29166666666666663,3.6959005905149116
271548206,14,1708.8048444464068,0.0021544346900318843,0.25,0.26637728096667185,False,,,,
260128333,6,1469.9074743735084,0.0021544346900318843,0.25,9.018972824226697,True,1469.9283077824496,0.0011887936286985035,0.29166666666666663,5.127048802474785
260128333,7,1510.5428863457776,0.0021544346900318843,0.4,10.990038862033115,True,1510.5637196791108,0.0015977384237703118,0.4583333333333333,8.918026567381522
260128333,6,1475.4699844316194,0.0021544346900318843,0.4,10.85409682041995,True,1475.4699844316194,0.0015199458978236713,0.41666666666666663,7.766083849095178
260128333,6,1484.9283222364827,0.0021544346900318843,0.5499999999999999,10.938585632255748,True,1485.0116555433622,0.0016559791475072583,0.6041666666666666,10.04531232644937
260128333,7,1500.397053012444,0.0021544346900318843,0.5499999999999999,12.978957717684208,True,1500.397053012444,0.0014639404547727164,0.6041666666666666,9.294442369573098
260128333,7,1508.1262196791108,0.0021544346900318843,0.7,13.296213122008078,True,1508.0637196791108,0.001101226502809527,0.6875,
271548206,14,1692.5756378528747,0.0021544346900318843,0.7,0.4937901668777624,False,,,,
260128333,6,1482.2408209126813,0.0021544346900318843,0.85,15.196421628792386,False,,,,
260128333,7,1510.6887196791108,0.0021544346900318843,0.85,13.885317618647646,False,,,,
271548206,14,1706.88817887637,0.0021544346900318843,1.0,0.579472983804102,False,,,,
260128333,6,1474.4491511183135,0.0021544346900318843,1.0,17.930285363996145,False,,,,
260128333,7,1510.5637196791108,0.0031622776601683794,0.1,8.067454385739078,True,1510.5637196791108,0.002070726340623663,0.16666666666666666,7.043810281352633
260128333,6,1480.2616507675427,0.0031622776601683794,0.1,9.102233618723556,True,1480.2616507675427,0.0007385235961473446,0.25,2.9687338346217707
78568736,7,1509.337916182902,0.0031622776601683794,0.25,41.79653776887304,True,1509.337916182902,0.002786205960230159,0.3333333333333333,40.811624938887036
260128333,6,1485.6991551566941,0.0031622776601683794,0.25,12.957968735241598,True,1485.6991551566941,0.0021854155889928784,0.3125,9.782582954089703
260128333,6,1487.9074849420656,0.0031622776601683794,0.4,15.208810967825594,True,1487.9074849420656,0.0016179426033224864,0.4375,8.490182039580958
78568736,7,1506.4837495162355,0.0031622776601683794,0.4,50.15747540306241,True,1506.4837495162355,0.0028080334881860347,0.47916666666666663,50.914528708051
260128333,6,1473.7408171849243,0.0031622776601683794,0.5499999999999999,19.91489710928113,True,1473.7408171849243,0.002279497292141053,0.5625,13.529242704273994
271548206,14,1708.5965111501885,0.0031622776601683794,0.5499999999999999,0.6096271356091766,False,,,,
271548206,14,1710.0965119645987,0.0031622776601683794,0.7,0.6647111953129097,False,,,,
260128333,7,1506.584553012444,0.0031622776601683794,0.7,18.468435734024517,False,,,,
260128333,6,1473.324149968851,0.0031622776601683794,0.85,20.244525415454106,False,,,,
271548206,15,1725.6694250992898,0.0031622776601683794,0.85,0.8288929074012775,False,,,,
271548206,14,1697.5548462445395,0.0031622776601683794,1.0,0.8758660920076226,False,,,,
260128333,7,1498.0012196791108,0.0031622776601683794,1.0,23.088279060592317,False,,,,
271548206,14,1698.7631808979447,0.004641588833612777,0.1,0.4453681245893815,False,,,,
271548206,15,1713.5444250992898,0.004641588833612777,0.1,0.4211022961085242,False,,,,
271548206,15,1713.7944250992898,0.004641588833612777,0.25,0.6323847823183849,False,,,,
260128333,7,1496.3762196791108,0.004641588833612777,0.25,20.253926881455712,True,1496.3762196791108,0.0039342184849432416,0.3333333333333333,18.930952013644138
260128333,6,1469.7616405045167,0.004641588833612777,0.4,23.978401360336665,True,1469.7616405045167,0.0027572846866406042,0.4375,14.596480516861638
271548206,14,1691.700630405573,0.004641588833612777,0.4,0.878054168912119,False,,,,
260128333,7,1493.9178863457776,0.004641588833612777,0.5499999999999999,21.44281652748593,True,1493.9178863457776,0.001814510662295321,0.5625,11.13308804003905
