tess_id,signal_id,date_added,date_modified,source,ra,dec,pmra,pmdec,Tmag,bjd0,bjd0_uncert,period,period_uncert,morph_coeff,prim_width_pf,prim_depth_pf,prim_pos_pf,sec_width_pf,sec_depth_pf,sec_pos_pf,prim_width_2g,prim_depth_2g,prim_pos_2g,sec_width_2g,sec_depth_2g,sec_pos_2g,sectors
363326796,1,2020-07-27 20:19:33.867800,2021-09-16 17:36:17.770838,Light Curve File (LCF),146.098196799469,-48.8373107729115,-43.2206,17.8296,9.8353,1553.8434748515997,0.0001548102111428,11.395620562486451,0.0002371015706632,0.16025913,0.0177616525783128,0.0668389090962477,0.9999839484061732,,,,0.0289069308980591,0.0870549466901449,0.9999675328261874,0.0378377644800999,0.0060079097127142,0.5000154201664022,9
146530594,1,2020-07-27 20:25:48.699828,2021-09-16 17:36:18.787746,Light Curve File (LCF),159.019403036395,-45.0978869353527,-7.21935,2.31248,11.7777,1561.7656521300744,0.0022909847716618,27.087945262387727,0.0013092550883015,0.13186505,0.0133497837330206,0.039069465529792,1.0001925002356409,,,,0.0229016051070172,0.0507346600491875,5.3059021307079054e-05,,,,"9,10,36"
349518145,1,2020-07-27 20:25:50.563131,2021-09-16 17:36:19.371267,Light Curve File (LCF),111.255889359186,-61.3165780500469,0.0839841,18.5993,12.6017,1327.574926842787,0.0012809386066692,8.27987472829318,1.8669396480319733e-05,0.15024415,0.0151575748147996,0.0322026943755586,0.5002112567804513,0.0159944457203695,0.0276138334411824,1.000452420287988,0.0217207408950313,0.0350114676694616,0.5004339185892048,0.0223292626231936,0.0302625873924272,0.0004761498884202,"1,2,3,4,5,6,7,8,9,10,11,12,13"
398850090,1,2020-07-27 20:25:53.681717,2021-09-16 17:36:20.238190,Light Curve File (LCF),162.308662815585,-67.7473048488061,-18.4022,6.34853,10.5841,1579.0233675564727,0.0001277463024962,13.181334191009276,0.0001508981226745,0.10729349,0.0160248393624004,0.4319404427260852,1.000016445271886,0.0211358667417514,0.4274997605291847,0.5341932701650517,0.0235369849914371,0.4959448521316826,3.253972949938907e-07,0.0308806558078502,0.4633943122108432,0.5341601948189934,10
300293197,1,2020-07-27 20:25:54.358049,2021-09-16 17:36:20.438007,Light Curve File (LCF),110.279638969995,-68.5784061999537,5.8,9.3,9.4906,1592.589333629077,0.0065563110123962,13.117610311593456,0.001009103857708,0.44300017,,,,,,,,,,,,,"1,2,3,4,5,6,7,8,9,10,11,12,13,28,29,30,31,32,33,34,35,36"
391643922,1,2020-07-27 20:25:59.956836,2021-09-16 17:36:22.021695,Light Curve File (LCF),161.912005302696,-60.617856080838,-7.89234,3.4811,7.688,1592.111178582991,0.002010330519397,17.796914192232567,0.0009074402549629,0.19672772,0.0235924320602571,0.0322555254453233,0.99993275887301,0.0248233379522898,0.024145812078872,0.6683224169146338,0.0338507020322503,0.0348267378630282,6.201438868847075e-05,0.0343174516292176,0.0261317770682942,0.668376876694891,"10,11"
355152640,1,2020-07-27 20:26:00.824305,2021-09-16 17:36:22.221696,Light Curve File (LCF),130.046447927721,-65.5289041060891,-1.27632,5.2481,9.9268,1564.660827190525,0.0001303739757076,22.11895969659816,0.0002088169897369,0.21160868,0.0256041822354723,0.3308916188194815,0.9999989556693863,0.0329269867106228,0.1522739446243577,0.5337904499602858,0.0399713138116079,0.3228500611157385,0.9999989486615216,0.0479390572476334,0.1624333067409339,0.5338002715688839,"9,10"
22390773,1,2020-07-27 20:26:01.190115,2021-09-16 17:36:22.271615,Light Curve File (LCF),184.178973109194,-45.8674737926669,4.2859,-32.5931,8.9692,1572.0618458816684,0.0003475015744243,11.305119462266283,0.0002511973227967,0.10855819,0.015341027720614,0.3986116842009082,1.0000224246019953,0.0221221421342813,0.2421038550031866,0.5240496852481669,0.022903601572171,0.4193494534308177,0.9999910655760752,0.0314128483088112,0.2570005332476142,0.5240828738814092,10
350518984,1,2020-07-28 02:32:53.166902,2021-09-16 17:36:22.621592,Light Curve File (LCF),86.185050118409,-56.7150686584657,-3.2,2.8,8.6481,1610.8706125577671,0.0001309777690039,23.91657581550514,0.000118435925966,0.021245092,0.0066262938563931,0.0403954246801494,0.9993475153062203,,,,0.0092129075980032,0.0429268099205377,0.9993397518961932,,,,"1,2,3,4,5,6,7,8,9,10,11,12,13"
302043038,1,2020-07-28 16:40:54.947191,2021-09-16 17:36:23.013338,Light Curve File (LCF),132.339223952722,-70.564094563124,-3.78241,0.570547,10.4801,1546.6530544481109,0.0004486107827688,16.721203124430538,2.0775841026221545e-05,0.13092944,0.0192844074377689,0.2409908059782524,1.0000304955482155,0.026721363990377,0.0963685487541099,0.4081678353035775,0.0271259868009737,0.2591190082664507,0.9999976398751008,0.0380887568765088,0.1016564205120748,0.4081667454857834,"9,10,11,12"
278988794,1,2020-07-28 16:40:55.244378,2021-09-16 17:36:23.163265,Light Curve File (LCF),101.902400898769,-57.8247623822116,-2.79632,5.49958,13.7216,1328.4795320825694,0.0010081469370106,7.592355236530743,7.601738894180698e-05,0.17348424,0.0196555370871844,0.0854530102615784,0.9999363126844948,0.0211985681920807,0.036727324369413,0.5009805645196171,0.0273092238225945,0.0924204872563309,0.9998606832298071,0.0309994048736551,0.0378672269809524,0.4999710840181911,"1,2,3,5,6,7,8,9,10,11,12,13"
