Sector,start_time,end_time
1,1325.3167729559354,1353.184828503989
2,1354.1084396149963,1381.5216340553015
3,1382.7264951663092,1409.375800721813
4,1410.907050721813,1436.8584396145309
5,1437.9834396149963,1464.2959396219812
6,1465.2126062889583,1490.052884074859
7,1491.6327451867985,1516.0945507502183
8,1517.3480229726993,1542.0077452012338
9,1543.2230229792185,1568.4834396489896
10,1569.4383007599972,1595.688300759066
11,1596.7785785370506,1623.900106309913
12,1624.955661865417,1652.9001063015312
13,1653.920939634554,1682.365384069737
14,1683.354967,1710.212606283836
15,1711.3653840613551,1737.4174673897214
16,1738.653578500729,1763.327189609874
17,1764.6848284988664,1789.7021896122023
18,1790.6570507236756,1815.038995173294
19,1816.0841340622865,1841.1570507367144
20,1842.504272959195,1868.830661857035
21,1870.4348285244776,1897.7889951989052
22,1899.3063563103788,1926.500800759532
23,1928.104967426043,1954.882745204028
24,1955.795939648524,1982.2889952003025
25,1983.6327452003025,2009.3133007488211
26,2010.268161859829,2035.1431618519127
27,2036.2785785179583,2060.650106288027
28,2061.8514951765537,2087.1049673925154
29,2088.240384059027,2114.4417729438283
30,2115.8862173883244,2143.2299673883244
31,2144.5146896108054,2172.0355229489505
32,2173.0737173934467,2200.2403840678744
33,2201.733439623844,2227.5806618547067
34,2228.7508007441647,2254.0737174185924
35,2254.990384085569,2279.9869118686765
36,2280.9035785356537,2305.997328537982
37,2307.2403840934858,2332.587606314104
38,2333.854967425112,2360.5598285305314
39,2361.771634086035,2389.726495188661
40,2390.653578521684,2418.861911845859
41,2419.9903840678744,2446.5876062829047
42,2447.6917729489505,2473.167467389256
43,2474.167467389256,2498.896634054836
44,2500.188300721348,2524.4487173906527
45,2525.507745168637,2550.6327451742254
46,2551.566772952676,2578.778578516561
47,2579.802884072531,2606.948717414867
48,2607.9348285263404,2635.993856
49,2637.473022978287,2664.3237174265087
50,2665.271634,2691.518161870073
51,2692.9487174255773,2717.542467421852
52,2718.6362174213864,2743.0841340813786
53,2743.9973285258748,2768.9869118509814
54,2769.9001062954776,2796.136217398104
55,2797.1014951756224,2824.2716340580955
56,2825.257745169103,2838.521634055767
57,2853.3549673883244,2867.2542729438283
58,2882.3306618342176,2896.0633007250726
59,2910.2646896173246,2923.354967399034
60,2936.903578514233,2949.775106296409
61,2962.799411856104,2975.205661860294
62,2988.441772975028,3000.931356
63,3014.3688563136384,3027.4001063150354
64,3041.115384,3055.0876063145697
65,3068.740384090692,3083.4834396438678
66,3097.6744118621573,3111.983439635951
67,3126.6431618537754,3140.257745182608
68,3154.611911844928,3168.278578507714
69,3182.354967392981,3195.0008007241413
70,3208.354967,3221.132745166309
71,3234.035522944294,3247.0146896122023
72,3260.1848285030574,3273.007745172363
73,3285.7994118425995,3298.9487174022943
74,3312.8653840734623,3325.854967411142
75,3339.7855229708366,3353.563300752546
76,3367.6987174227834,3381.393161869142
77,3395.486911870539,3409.2751063150354
78,3423.7646896475926,3437.667467423249
79,3452.538995,3465.6084396392107
80,3479.88969,3493.3514951863326
81,3506.552884071134,3519.580661844928
82,3533.393161840737,3545.4695507269357
83,3559.427884,3571.7160785002634
84,3584.5910784997977,3597.306356277317
85,3610.556356278714,3623.240384058096
86,3636.261217394378,3649.615384064615
87,3663.0424674018286,3676.448717406485
88,3690.1535785221495,3703.896634081844
89,3718.139689641539,3732.952189644799
90,3747.160522980616,3760.7403840925545
91,3775.292467426043,3789.2646896475926
92,3802.973022978753,3816.4869118649513
93,3829.8584396392102,3843.139689635485
94,3856.2646896312954,3868.736911849584
95,3882.3341340678735,3894.674411842134
96,3907.7751062829047,3920.490384058096
97,3933.660522945225,3946.8723284997977
98,3988.5008007250726,4002.802884061355
